date,100000001,100000002,100000003,100000004,100000005
2024-12-31,480.58,498.68,363.45,271.76,103.4
2025-01-01,500.96,519.32,381.98,290.01,124.84
2025-01-02,517.16,536.65,399.72,308.06,139.67
2025-01-03,534.93,553.48,428.8,333.21,161.7
2025-01-04,558.08,576.1,444.79,343.96,181.49
2025-01-05,587.6,605.93,472.38,372.66,211.21
2025-01-06,607.47,615.87,494.49,388.19,225.4
2025-01-07,613.24,637.99,496.59,413.0,238.78
2025-01-08,626.71,645.73,520.11,423.94,261.72
2025-01-09,647.56,692.98,543.65,442.63,298.1
2025-01-10,676.98,712.89,563.34,478.46,289.42
2025-01-11,695.71,708.76,566.11,473.3,344.56
2025-01-12,737.25,751.67,620.76,532.53,334.73
2025-01-13,751.99,752.31,640.03,532.64,353.9
2025-01-14,741.69,766.76,663.97,525.61,380.36
2025-01-15,791.3,796.14,634.0,545.79,390.22
2025-01-16,818.64,788.02,680.91,596.8,438.94
2025-01-17,852.2,844.07,683.75,596.84,430.73
2025-01-18,822.85,831.96,711.21,615.47,433.0
2025-01-19,897.59,860.56,771.46,635.52,472.03
2025-01-20,885.6,862.96,802.92,664.62,522.21
2025-01-21,937.56,893.55,788.33,657.81,548.54
2025-01-22,930.69,917.16,784.25,677.21,526.21
2025-01-23,947.67,962.82,814.91,724.44,535.69
2025-01-24,958.76,933.53,819.85,742.56,608.22
2025-01-25,945.97,1004.95,831.54,806.51,590.57
2025-01-26,1033.78,1048.43,835.27,807.24,607.9
2025-01-27,1039.58,1030.25,865.49,798.27,599.58
2025-01-28,990.1,1051.88,870.21,852.2,634.03
2025-01-29,1079.34,1094.46,954.73,873.91,725.41
2025-01-30,1071.19,1123.47,952.8,828.9,672.17
2025-01-31,1042.22,1164.1,991.89,896.37,753.5
2025-02-01,1120.56,1190.01,954.57,964.75,798.9
2025-02-02,1131.8,1100.53,1066.25,920.66,777.8
2025-02-03,1159.19,1161.83,1015.84,888.13,839.04
2025-02-04,1221.27,1149.09,1028.63,1026.49,844.96
2025-02-05,1176.59,1181.94,1015.32,929.85,879.77
2025-02-06,1155.43,1277.97,1104.32,1023.18,874.93
2025-02-07,1222.76,1229.83,1160.88,994.66,790.89
2025-02-08,1228.76,1213.56,1111.96,1043.2,896.86
2025-02-09,1237.65,1236.34,1221.21,1046.11,880.14
2025-02-10,1315.15,1363.34,1202.29,1026.52,940.02
2025-02-11,1289.7,1313.97,1212.14,1127.34,938.93
2025-02-12,1421.13,1410.68,1150.35,1091.08,949.31
2025-02-13,1285.6,1306.82,1310.04,1118.63,1000.99
2025-02-14,1439.82,1355.61,1337.88,1191.93,949.45
2025-02-15,1458.87,1476.16,1243.59,1156.52,1113.79
2025-02-16,1384.93,1501.33,1301.46,1151.51,1131.42
2025-02-17,1520.31,1499.35,1319.47,1283.75,1019.78
2025-02-18,1363.36,1446.46,1257.36,1343.1,1119.98
