date,timestamp,100000001,100000002,100000003,100000004,100000005
20250219,0,1363.36,1446.46,1257.36,1343.1,1119.98
20250219,30,1363.98,1447.1,1257.97,1343.63,1120.62
20250219,100,1364.59,1447.75,1258.57,1344.16,1121.25
20250219,130,1365.21,1448.39,1259.18,1344.69,1121.89
20250219,200,1365.82,1449.04,1259.79,1345.22,1122.52
20250219,230,1366.44,1449.68,1260.39,1345.75,1123.16
20250219,300,1367.06,1450.33,1261.0,1346.29,1123.79
20250219,330,1367.67,1450.97,1261.6,1346.82,1124.43
20250219,400,1368.29,1451.61,1262.21,1347.35,1125.06
20250219,430,1368.91,1452.26,1262.82,1347.88,1125.7
20250219,500,1369.52,1452.9,1263.42,1348.41,1126.33
20250219,530,1370.14,1453.55,1264.03,1348.94,1126.97
20250219,600,1370.75,1454.19,1264.64,1349.47,1127.6
20250219,630,1371.37,1454.84,1265.24,1350.0,1128.24
20250219,700,1371.99,1455.48,1265.85,1350.53,1128.88
20250219,730,1372.6,1456.12,1266.45,1351.06,1129.51
20250219,800,1373.22,1456.77,1267.06,1351.59,1130.15
20250219,830,1373.84,1457.41,1267.67,1352.13,1130.78
20250219,900,1374.45,1458.06,1268.27,1352.66,1131.42
20250219,930,1375.07,1458.7,1268.88,1353.19,1132.05
20250219,1000,1375.68,1459.34,1269.49,1353.72,1132.69
20250219,1030,1376.3,1459.99,1270.09,1354.25,1133.32
20250219,1100,1376.92,1460.63,1270.7,1354.78,1133.96
20250219,1130,1377.53,1461.28,1271.3,1355.31,1134.59
20250219,1200,1378.15,1461.92,1271.91,1355.84,1135.23
20250219,1230,1378.76,1462.57,1272.52,1356.37,1135.86
20250219,1300,1379.38,1463.21,1273.12,1356.9,1136.5
20250219,1330,1380.0,1463.85,1273.73,1357.43,1137.14
20250219,1400,1380.61,1464.5,1274.34,1357.97,1137.77
20250219,1430,1381.23,1465.14,1274.94,1358.5,1138.41
20250219,1500,1381.85,1465.79,1275.55,1359.03,1139.04
20250219,1530,1382.46,1466.43,1276.16,1359.56,1139.68
20250219,1600,1383.08,1467.08,1276.76,1360.09,1140.31
20250219,1630,1383.69,1467.72,1277.37,1360.62,1140.95
20250219,1700,1384.31,1468.36,1277.97,1361.15,1141.58
20250219,1730,1384.93,1469.01,1278.58,1361.68,1142.22
